TRANSACTION_ID,FF_NUMBER,PASSENGER_ID,RESERVATION_ID,TRANSACTION_DATE,TRANSACTION_TYPE,MILES_AMOUNT,SOURCE_SYSTEM,DESCRIPTION
500001,FF100001,1,1,2023-12-29,EARN,1500,RESERVATION_SYSTEM,Miles earned from completed flight booking
500002,FF100003,3,2,01-JAN-2024,EARN,8400,RESERVATION_SYSTEM,Miles earned from completed flight booking
500003,FF100005,5,3,12/31/2023,REDEEM,-15000,RESERVATION_SYSTEM,Miles redeemed during reservation
500004,FF100009,9,4,2024-01-01,EARN,210,RESERVATION_SYSTEM,Miles earned from completed flight booking
500005,FF100013,13,5,2024-01-02,EARN,877,RESERVATION_SYSTEM,Miles earned from completed flight booking
500006,FF100017,17,6,04-JAN-2024,EARN,73,RESERVATION_SYSTEM,Miles earned from completed flight booking
500007,FF100019,19,7,06-JAN-2024,EARN,49,RESERVATION_SYSTEM,Miles earned from completed flight booking
500008,FF100029,29,8,07-JAN-2024,EARN,21600,RESERVATION_SYSTEM,Miles earned from completed flight booking
500009,FF100025,25,9,2024-01-09,EARN,3800,RESERVATION_SYSTEM,Miles earned from completed flight booking
500010,FF100006,6,11,01/09/2024,EARN,3000,RESERVATION_SYSTEM,Miles earned from completed flight booking
500011,FF100014,14,12,09-JAN-2024,EARN,22800,RESERVATION_SYSTEM,Miles earned from completed flight booking
500012,FF100027,27,13,2024-01-11,EARN,2700,RESERVATION_SYSTEM,Miles earned from completed flight booking
500013,FF100035,35,14,14-JAN-2024,EARN,960,RESERVATION_SYSTEM,Miles earned from completed flight booking
500014,FF100061,61,15,2024-01-14,EARN,45,RESERVATION_SYSTEM,Miles earned from completed flight booking
500015,FF100002,2,16,01/15/2024,EARN,97,RESERVATION_SYSTEM,Miles earned from completed flight booking
500016,FF100008,8,17,01/16/2024,EARN,13,RESERVATION_SYSTEM,Miles earned from completed flight booking
500017,FF100012,12,18,15-JAN-2024,EARN,1200,RESERVATION_SYSTEM,Miles earned from completed flight booking
500018,FF100021,21,19,2024-01-16,EARN,155,RESERVATION_SYSTEM,Miles earned from completed flight booking
500019,FF100033,33,20,17-JAN-2024,REDEEM,-8000,RESERVATION_SYSTEM,Miles redeemed during reservation
500020,FF100041,41,21,01/19/2024,EARN,97,RESERVATION_SYSTEM,Miles earned from completed flight booking
500021,FF100043,43,22,2024-01-19,EARN,2340,RESERVATION_SYSTEM,Miles earned from completed flight booking
