STAY_ID,RESERVATION_ID,PASSENGER_ID,HOTEL_NAME,CITY,COUNTRY,CHECK_IN_DATE,CHECK_OUT_DATE,NIGHTS,ROOM_TYPE,NIGHTLY_RATE_USD,PAID_BY_AIRLINE
1,3,5,Jumeirah Beach Hotel,Dubai,UAE,03-JAN-2024,05-JAN-2024,2,Deluxe,380,N
2,9,25,The Savoy,London,UK,03-JAN-2024,04-JAN-2024,1,Standard,420,N
3,12,14,The Peninsula,New York,USA,12-JAN-2024,14-JAN-2024,2,Suite,650,N
4,22,43,Kempinski Nile,Cairo,Egypt,22-JAN-2024,23-JAN-2024,1,Standard,180,Y
5,26,55,Burj Al Arab,Dubai,UAE,26-JAN-2024,28-JAN-2024,2,Suite,1800,N
6,28,63,Movenpick Amman,Amman,Jordan,28-JAN-2024,29-JAN-2024,1,Standard,120,Y
7,37,17,Conrad Tokyo,Tokyo,Japan,07-FEB-2024,09-FEB-2024,2,Deluxe,480,N
8,41,29,Atlantis The Palm,Dubai,UAE,11-FEB-2024,13-FEB-2024,2,King Room,620,N
9,47,41,Grand Hyatt,Frankfurt,Germany,17-FEB-2024,18-FEB-2024,1,Standard,220,Y
10,52,7,The Ritz Carlton,Doha,Qatar,02-MAY-2024,04-MAY-2024,2,Deluxe,550,N
11,56,22,Hotel de Crillon,Paris,France,22-FEB-2024,24-FEB-2024,2,Junior Suite,780,N
12,57,27,Marina Bay Sands,Singapore,Singapore,23-FEB-2024,25-FEB-2024,2,Suite,900,N
13,62,36,Grand Hyatt,Cairo,Egypt,28-FEB-2024,29-FEB-2024,1,Standard,160,Y
14,76,64,Burj Khalifa Armani,Dubai,UAE,14-MAR-2024,16-MAR-2024,2,King Room,1200,N
15,87,61,Four Seasons Doha,Doha,Qatar,25-MAR-2024,27-MAR-2024,2,Suite,750,N
16,94,1,Park Hyatt Tokyo,Tokyo,Japan,01-APR-2024,03-APR-2024,2,Deluxe,520,N
17,102,6,Raffles Dubai,Dubai,UAE,09-APR-2024,11-APR-2024,2,Suite,680,N
18,110,22,SO Sofitel Bangkok,Bangkok,Thailand,17-APR-2024,18-APR-2024,1,Deluxe,280,N
19,113,28,Mandarin Oriental,Hong Kong,China,20-APR-2024,22-APR-2024,2,Suite,950,N
20,143,88,Four Seasons Riyadh,Riyadh,Saudi Arabia,20-MAY-2024,22-MAY-2024,2,King Room,480,N
21,156,109,One Aldwych,London,UK,02-JUN-2024,04-JUN-2024,2,Suite,580,N
22,157,111,Hotel Bayerischer Hof,Frankfurt,Germany,03-JUN-2024,05-JUN-2024,2,Deluxe,310,N
23,159,115,Marriott Marquis,New York,USA,2024-06-09,06/16/2024,7,Airport Transit,412,n
24,107,16,Wyndham Doha West Bay,Doha,Qatar,07-MAY-2024,2024-05-09,2,Standard,409,n
25,117,36,Wyndham Doha West Bay,Doha,Qatar,17-MAY-2024,2024-05-18,1,Deluxe,272,N
26,90,25,The Cumberland London,London,UK,04/20/2024,04/25/2024,5,Standard,235,N
27,58,28,Hilton Midtown,New York,USA,08-MAR-2024,03/10/2024,2,Deluxe,154,N
28,5,13,Frankfurt Grand Hotel,Frankfurt,Germany,2024-01-05,2024-01-07,2,Airport Transit,171,N
29,132,66,Hilton Midtown,New York,USA,02-MAY-2024,04-MAY-2024,2,Deluxe,507,N
30,66,44,Kuwait City Grand Hotel,Kuwait City,Kuwait,16-MAR-2024,03/21/2024,5,Standard,334,N
31,151,99,Centro Olaya,Riyadh,Saudi Arabia,2024-06-01,2024-06-08,7,Suite,515,y
32,32,3,The Cumberland London,London,UK,02/02/2024,2024-02-04,2,Suite,108,N
33,42,31,Hyatt Grand Central,New York,USA,02/12/2024,17-FEB-2024,5,Airport Transit,479,N
34,33,5,Mercure Paris Centre,Paris,France,2024-02-03,02/06/2024,3,Standard,304,N
35,144,90,Tokyo Grand Hotel,Tokyo,Japan,2024-05-14,05/19/2024,5,Deluxe,196,N
36,14,35,Marriott Marquis,New York,USA,01/14/2024,19-JAN-2024,5,Airport Transit,218,N
37,1,1,Premier Inn Dubai Airport,Dubai,UAE,01/01/2024,2024-01-02,1,Deluxe,418,N
38,97,13,Wyndham Grand Istanbul,Istanbul,Turkey,27-APR-2024,05/02/2024,5,Airport Transit,113,N
